strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,32,Distance_Correlation,0.017033259539544356,0.012343432955182747,0.030977160898887177,0.183012230141832,0.014566404251006942,0.5185949842763948,"[0, 5, 6, 7, 8, 9]",974.44
0.01,32,Proposed_Method,0.08569423870511668,0.08499729488740206,0.08628890672302628,0.1333801096880611,0.13027001423502677,0.13923253860023135,"[7, 8, 9]",55.65
0.01,33,Pearson_Correlation_(abs),0.008351747298213261,6.814934948467994e-05,0.023725196855211027,0.17227454984016863,0.005051208000807299,0.48579018991415335,"[1, 7, 8, 9]",1962.74
0.01,33,Mutual_Information,0.0020066163385601306,0.0,0.012659861029350239,0.5745220416120663,0.013750460966797107,1.6895571807180465,"[7, 8, 9]",28531.38
0.01,33,Distance_Correlation,0.01771803345777888,0.012786896587382626,0.027731372238978046,0.1770157522474678,0.015483487874305748,0.4896901266485376,"[1, 7, 8, 9]",899.07
0.01,33,Proposed_Method,0.08485892393402461,0.08358924933770495,0.0856981541378096,0.1353291774872759,0.12888383642492063,0.14180312067534986,"[7, 8, 9]",59.48
0.01,34,Pearson_Correlation_(abs),0.0077000722404297235,6.645078657162137e-06,0.021762859467904575,0.16920285110904812,0.007748304271631115,0.4885329111969482,"[1, 3, 6, 8, 9]",2097.42
0.01,34,Mutual_Information,0.002321849403082586,0.0,0.011176770186875906,0.5581113572737918,0.0,1.6743340718213755,"[0, 2, 7, 8, 9]",23937.36
0.01,34,Distance_Correlation,0.017188746215343727,0.012664622415341975,0.024099137117129656,0.1732856999784237,0.012077344756079883,0.4919786228240343,"[1, 3, 6, 8, 9]",908.13
0.01,34,Proposed_Method,0.08675297416918738,0.08631897781003371,0.08712140915489966,0.13090972693856276,0.12662240277936174,0.1341368687635518,"[7, 8, 9]",50.9
0.01,35,Pearson_Correlation_(abs),0.008235328653963047,0.00021995985423331918,0.024726967778792155,0.16812141596116717,0.007747625211297854,0.48551239849369515,"[1, 5, 6, 8, 9]",1941.47
0.01,35,Mutual_Information,0.002587350404783634,0.0,0.012532130653396756,0.5549159240014528,0.0,1.6555764762477239,"[2, 4, 6, 8, 9]",21347.27
0.01,35,Distance_Correlation,0.017874850891812216,0.012234621139351557,0.03040552928859234,0.17326978240712684,0.01446026007691362,0.48908622034373783,"[1, 2, 6, 7, 8, 9]",869.35
0.01,35,Proposed_Method,0.08786429389740431,0.08620764912029365,0.0888991114432894,0.12831664757272332,0.12078093089309241,0.13241741095802204,"[7, 8, 9]",46.04
0.01,36,Pearson_Correlation_(abs),0.007931531079932977,0.0001805963020120155,0.02400708454481565,0.17082186153376142,0.00021415996706054138,0.5064473597754009,"[1, 2, 8, 9]",2053.71
0.01,36,Mutual_Information,0.0032473215671575367,0.0,0.014330577560911273,0.5603017006338925,0.0,1.6809051019016774,"[0, 6, 7, 8, 9]",17154.27
0.01,36,Distance_Correlation,0.017015078580645417,0.012589737518754727,0.024463438043572948,0.17760559771241158,0.013481005138912507,0.5042607959692802,"[1, 2, 8, 9]",943.81
0.01,36,Proposed_Method,0.08351920111602283,0.08113010559913912,0.08570745530963204,0.13845519739594672,0.13104192289603264,0.14611340480323562,"[7, 8, 9]",65.78
0.01,37,Pearson_Correlation_(abs),0.00687110604103538,0.0006190540662017861,0.0161332449620316,0.17218900044158883,0.0038249320571395627,0.5037074703713156,"[1, 2, 3, 6, 8, 9]",2405.99
0.01,37,Mutual_Information,0.0024249327183705417,0.0,0.01474239507378794,0.5679812010732889,0.0,1.6999765645400045,"[1, 2, 6, 8, 9]",23322.56
